stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone,wheelchair_boarding,stop_lon,stop_lat
910GCARLILE,CAR,Carlisle,3,,,1,,,Europe/London,1,-2.933810228,54.89064626
910GCARRBDG,CAG,Carrbridge,0,,,1,,,Europe/London,2,-3.828007433,57.27953805
910GCATZ007,WIR,WIRKSWORTH,0,,,1,,,Europe/London,0,-1.5685057670043634,53.08333814037784
910GCATZ008,XID,IDRIDGEHAY,0,,,1,,,Europe/London,0,-1.5689901704291742,53.03479851287231
910GCATZQBM,QBM,MAERDY BUS,0,,,1,,,Europe/London,0,-3.486730533666609,51.67764526170623
910GCBORNE,CBN,Camborne,0,,,1,,,Europe/London,0,-5.297472083,50.21042369
910GCCARY,CLC,Castle Cary,2,,,1,,,Europe/London,0,-2.522802166,51.09980387
910GCHIPNHM,CPM,Chippenham,1,,,1,,,Europe/London,0,-2.115402682,51.46248638
910GCHLFNAL,CFO,Chalfont & Latimer,1,,,1,,,Europe/London,1,-0.5605191022,51.6681092656
910GCHRW,CLW,Chorleywood,0,,,1,,,Europe/London,1,-0.5183116683,51.6542489506
910GCNDAW,ZCW,Canada Water,1,,,1,,,Europe/London,1,-0.050791,51.498231
910GCNNBELL,CNN,Canonbury,9,,,1,,,Europe/London,1,-0.0919120646,51.5483736002
910GCNST,CAN,Carnoustie,1,,,1,,,Europe/London,1,-2.706592848,56.50055432
910GCOATBDS,CBS,Coatbridge Sunnyside,0,,,1,,,Europe/London,2,-4.028277989,55.86690882
910GCORROUR,CRR,Corrour,0,,,1,,,Europe/London,2,-4.690597107,56.76019896
910GCOVNTRY,COV,Coventry,2,,,1,,,Europe/London,1,-1.513460517,52.40082838
910GCOWESW,WTW,COWES WEST RDJET,0,,,1,,,Europe/London,0,-1.2966924310393864,50.76237069769124
910GCREWE,CRE,Crewe,3,,,1,,,Europe/London,1,-2.432977174,53.08964325
910GCRMRSEJ,CMO,Camelon,9,,,1,,,Europe/London,1,-3.817600468,56.00608001
910GCRNLRCH,CNR,Crianlarich,1,,,1,,,Europe/London,2,-4.618415436,56.39046001
910GCROY,CRO,Croy,1,,,1,,,Europe/London,1,-4.035961758,55.95566505
910GCRSTRS,CRS,Carstairs,3,,,1,,,Europe/London,2,-3.668466894,55.69103438
910GCUMBRAE,CUL,CUMBRAE,0,,,1,,,Europe/London,0,-4.903720306156337,55.780962022845664
910GCUPAR,CUP,Cupar,0,,,1,,,Europe/London,1,-3.008758431,56.31697353
910GCWDNBTH,COW,Cowdenbeath,0,,,1,,,Europe/London,2,-3.343182977,56.11208188
910GDALMUIR,DMR,Dalmuir,1,,,1,,,Europe/London,1,-4.426678018,55.91191657
910GDALS,DLJ,Dalston Junction,1,,,1,,,Europe/London,1,-0.076215,51.544513
910GDALWHIN,DLW,Dalwhinnie,0,,,1,,,Europe/London,1,-4.246197968,56.93515882
910GDAWLISH,DWL,Dawlish,0,,,1,,,Europe/London,0,-3.464647817,50.58080594
910GDAWLSHW,DWW,Dawlish Warren,0,,,1,,,Europe/London,2,-3.444018179,50.59905091
910GDIDCOTP,DID,Didcot Parkway,2,,,1,,,Europe/London,1,-1.242891296,51.61095504
910GDLMYJN,DAM,Dalmeny,9,,,1,,,Europe/London,1,-3.381618779,55.98630536
910GDLREOCH,DLR,Dalreoch,1,,,1,,,Europe/London,2,-4.5778481,55.94740397
910GDMBRTNC,DBC,Dumbarton Central,1,,,1,,,Europe/London,1,-4.566905428,55.94664381
910GDNFRMLE,DFE,Dunfermline City,1,,,1,,,Europe/London,1,-3.452529288,56.06817924
910GDRBY,DBY,Derby,2,,,1,,,Europe/London,1,-1.463073262,52.91618036
910GDUFIELD,DFI,Duffield,1,,,1,,,Europe/London,2,-1.486035917,52.98774917
910GDUNANE,DBL,Dunblane,1,,,1,,,Europe/London,1,-3.965483792,56.18587463
910GDUNDETB,DEE,Dundee,2,,,1,,,Europe/London,1,-2.971204807,56.45647618
910GDUNKELD,DKD,Dunkeld & Birnam,0,,,1,,,Europe/London,2,-3.578399065,56.5570421
910GEBOLDON,EBL,EAST BOLDON,0,,,1,,,Europe/London,0,-1.420777077591685,54.94677519383353
910GEDINBUR,EDB,Edinburgh,3,,,1,,,Europe/London,1,-3.188221921,55.95238716
910GEMPKAIR,EMA,East Mids Airport via DBY,1,,,1,,,Europe/London,0,-1.3305921082686911,52.82873724531979
910GEUSTON,EUS,London Euston,3,,,1,,,Europe/London,1,-0.134558479,51.52837626
910GEXETRSD,EXD,Exeter St David's,2,,,1,,,Europe/London,1,-3.543660789,50.72915216
910GFALKRKG,FKG,Falkirk Grahamston,2,,,1,,,Europe/London,2,-3.785040515,56.0026016
