from_stop_id,to_stop_id,transfer_type,min_transfer_time,mode,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
910GSTHALL,910GWEALING,2,3000,BUS,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GSTIRLNG,910GSTIRLNG,2,300,,,,,,,,,,,,
910GSURREYQ,910GSURREYQ,2,300,,,,,,,,,,,,
910GTAUNTON,910GTAUNTON,2,300,,,,,,,,,,,,
910GTEINMTH,910GTEINMTH,2,300,,,,,,,,,,,,
910GTHEALE,910GTHEALE,2,300,,,,,,,,,,,,
910GTIVIPW,910GTIVIPW,2,300,,,,,,,,,,,,
910GTOTNES,910GTOTNES,2,300,,,,,,,,,,,,
910GTRING,910GTRING,2,300,,,,,,,,,,,,
910GTRURO,910GTRURO,2,300,,,,,,,,,,,,
910GTULLOCH,910GTULLOCH,2,300,,,,,,,,,,,,
910GTWYFORD,910GTWYFORD,2,180,,,,,,,,,,,,
910GTYNDRMU,910GTYNDRMU,2,300,,,,,,,,,,,,
910GUPHALL,910GUPHALL,2,300,,,,,,,,,,,,
910GWAPPING,910GWAPPING,2,300,,,,,,,,,,,,
910GWATFDJ,910GWATFDJ,2,300,,,,,,,,,,,,
910GWCHAPEL,910GWCHAPEL,2,300,,,,,,,,,,,,
910GWEALING,910GSTHALL,2,3000,BUS,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GWEALING,910GWEALING,2,180,,,,,,,,,,,,
910GWESTRTN,910GWESTRTN,2,300,,,,,,,,,,,,
910GWIGANNW,910GWIGANNW,2,300,,,,,,,,,,,,
910GWLSDWLJ,910GWLSDWLJ,2,300,,,,,,,,,,,,
910GWMBY,910GWMBY,2,300,,,,,,,,,,,,
910GWNSFD,910GWNSFD,2,300,,,,,,,,,,,,
910GWRGTNBQ,910GWRGTNBQ,2,300,,,,,,,,,,,,
